transaction_id,timestamp,sender_account,receiver_account,amount,sender_ip,receiver_ip,transaction_type,country,is_fraud,fraud_pattern
TXN_026DF8AB846F,2026-08-15T01:35:14.365203,ACC_00825,ACC_00954,10809.45,129.231.232.40,218.120.237.173,TRANSFER,IN,False,
TXN_460D3B20909A,2026-08-15T01:37:04.365203,ACC_00898,ACC_00960,37880.85,121.83.132.229,132.138.0.235,TRANSFER,US,False,
TXN_195787B6C867,2026-08-15T01:44:09.365203,ACC_00882,ACC_00643,3627.86,110.174.84.144,121.180.9.44,TRANSFER,US,False,
TXN_5F95A5A7ECC6,2026-08-15T01:49:08.365203,ACC_00261,ACC_00383,13994.56,196.71.144.228,73.102.238.105,TRANSFER,GB,False,
TXN_CB1734C9F9F9,2026-08-15T01:54:13.365203,ACC_00709,ACC_00553,40841.05,60.53.195.188,211.181.66.42,TRANSFER,US,False,
TXN_BA1B045EBE92,2026-08-15T01:59:11.365203,ACC_00100,ACC_00072,38709.81,62.211.125.60,139.186.252.60,TRANSFER,IN,False,
TXN_2E506CBBC707,2026-08-15T01:59:20.365203,ACC_00122,ACC_00025,23297.79,182.123.91.126,82.129.231.194,TRANSFER,SG,False,
TXN_EEBA37184102,2026-08-15T02:02:02.365203,ACC_00521,ACC_00494,43934.64,61.146.82.59,140.166.45.21,TRANSFER,SG,False,
TXN_463589D914A3,2026-08-15T02:06:10.365203,ACC_00319,ACC_00064,29543.98,45.25.28.20,157.114.171.184,TRANSFER,US,False,
TXN_5D1AEEB000CC,2026-08-15T02:32:57.365203,ACC_00060,ACC_00662,1181.78,81.235.156.121,189.171.238.236,TRANSFER,GB,False,
TXN_8053BA11DCAA,2026-08-15T02:41:22.365203,ACC_00434,ACC_00960,29657.58,196.80.106.233,132.138.0.235,TRANSFER,SG,False,
TXN_19F673731E91,2026-08-15T02:49:35.365203,ACC_00147,ACC_00885,21447.91,194.250.209.117,37.30.106.189,TRANSFER,IN,False,
TXN_AE45560D2357,2026-08-15T02:50:47.365203,ACC_00569,ACC_00963,21569.18,152.215.9.80,83.11.178.67,TRANSFER,SG,False,
TXN_524A3644CA57,2026-08-15T03:02:44.365203,ACC_00394,ACC_00413,9171.49,101.228.179.62,91.113.13.19,TRANSFER,IN,False,
TXN_A2513CE90B82,2026-08-15T03:05:31.365203,ACC_00457,ACC_00575,30514.56,135.154.93.177,123.91.162.249,TRANSFER,IN,False,
TXN_6367E7A5433E,2026-08-15T03:11:34.365203,ACC_00504,ACC_00521,26776.61,132.199.27.20,61.146.82.59,TRANSFER,US,False,
TXN_049D0500FB67,2026-08-15T03:15:26.365203,ACC_00484,ACC_00137,428.52,191.43.68.145,33.138.224.30,TRANSFER,SG,False,
TXN_67D479D52C07,2026-08-15T03:23:02.365203,ACC_00460,ACC_00631,20483.71,13.165.236.203,68.38.179.69,TRANSFER,SG,False,
TXN_96D8992EA023,2026-08-15T03:23:48.365203,ACC_00429,ACC_00767,24808.57,165.165.118.51,191.213.90.174,TRANSFER,IN,False,
TXN_7BA24EA4A0E6,2026-08-15T03:28:10.365203,ACC_00888,ACC_00411,23140.08,211.11.94.120,183.124.37.41,TRANSFER,GB,False,
TXN_1C7FA79681BC,2026-08-15T03:29:11.365203,ACC_00209,ACC_00872,956.02,117.140.131.215,209.195.172.118,TRANSFER,GB,False,
TXN_C23D3638AFE5,2026-08-15T03:30:34.365203,ACC_00699,ACC_00845,2966.31,126.203.4.234,130.198.236.109,TRANSFER,US,False,
TXN_711838B553E3,2026-08-15T03:34:10.365203,ACC_00345,ACC_00014,47420.4,169.139.194.26,107.210.64.226,TRANSFER,GB,False,
TXN_7653D58FB47A,2026-08-15T03:37:50.365203,ACC_00029,ACC_00285,27110.06,91.62.75.49,213.84.90.217,TRANSFER,SG,False,
TXN_E9BC33330C0D,2026-08-15T03:39:37.365203,ACC_00764,ACC_00224,28957.73,47.61.128.122,204.142.14.235,TRANSFER,IN,False,
TXN_1F479B633111,2026-08-15T03:43:35.365203,ACC_00919,ACC_00353,48005.02,65.109.207.55,23.25.90.128,TRANSFER,US,False,
TXN_97EDCA9DD93B,2026-08-15T03:47:34.365203,ACC_00654,ACC_00981,47102.69,180.231.208.249,153.174.168.177,TRANSFER,IN,False,
TXN_704C4FE2FDDA,2026-08-15T03:53:25.365203,ACC_00610,ACC_00348,11434.11,8.163.199.121,169.65.251.68,TRANSFER,IN,False,
TXN_67CEB3AD211B,2026-08-15T03:54:14.365203,ACC_00319,ACC_00281,28071.91,45.25.28.20,135.137.89.206,TRANSFER,US,False,
TXN_6E3F2497C0C1,2026-08-15T04:01:29.365203,ACC_00977,ACC_00246,3392.52,101.202.184.20,25.41.240.229,TRANSFER,US,False,
TXN_3EA36B4C8B3D,2026-08-15T04:06:52.365203,ACC_00115,ACC_00286,45560.23,210.105.57.68,51.145.94.5,TRANSFER,GB,False,
TXN_44FA6C1EE9E4,2026-08-15T04:09:48.365203,ACC_00144,ACC_00179,5742.77,8.32.116.107,53.11.109.229,TRANSFER,IN,False,
TXN_5C48270BC0EB,2026-08-15T04:09:56.365203,ACC_00213,ACC_00572,18139.16,55.63.212.45,6.115.59.214,TRANSFER,US,False,
TXN_563D01F6080E,2026-08-15T04:20:03.365203,ACC_00584,ACC_00178,8739.35,102.209.167.97,81.148.246.196,TRANSFER,US,False,
TXN_99FC62BEC157,2026-08-15T04:22:20.365203,ACC_00085,ACC_00741,44383.6,70.109.7.195,56.245.77.12,TRANSFER,SG,False,
TXN_01B5FC819C7C,2026-08-15T04:27:59.365203,ACC_00877,ACC_00636,42918.19,96.203.190.33,102.56.231.234,TRANSFER,IN,False,
TXN_57F6CCEDEA13,2026-08-15T04:51:17.365203,ACC_00261,ACC_00957,27567.38,196.71.144.228,84.140.97.195,TRANSFER,GB,False,
TXN_D1D311F09EBE,2026-08-15T04:53:07.365203,ACC_00966,ACC_00098,13766.1,190.189.135.125,36.120.61.188,TRANSFER,IN,False,
TXN_5450DC165868,2026-08-15T04:56:08.365203,ACC_00319,ACC_00955,2297.1,45.25.28.20,108.210.43.16,TRANSFER,US,False,
TXN_D999A3C55707,2026-08-15T04:57:14.365203,ACC_00539,ACC_00786,28582.31,207.212.26.83,90.52.33.209,TRANSFER,IN,False,
TXN_D1143102C1CA,2026-08-15T05:01:04.365203,ACC_00014,ACC_00883,25084.92,107.210.64.226,68.210.220.24,TRANSFER,IN,False,
TXN_72407EB8F91F,2026-08-15T05:07:25.365203,ACC_00119,ACC_00941,30557.8,210.53.114.154,193.215.242.2,TRANSFER,SG,False,
TXN_1C5FF99B82EC,2026-08-15T05:09:59.365203,ACC_00166,ACC_00994,46649.34,56.249.162.138,86.32.89.16,TRANSFER,SG,False,
TXN_1AE1A6560D08,2026-08-15T05:14:10.365203,ACC_00070,ACC_00452,11596.93,107.69.168.85,175.15.29.49,TRANSFER,SG,False,
TXN_8F7E3220E945,2026-08-15T05:14:23.365203,ACC_00960,ACC_00263,18611.82,132.138.0.235,137.127.12.106,TRANSFER,IN,False,
TXN_DFCC38C5D71B,2026-08-15T05:17:44.365203,ACC_00919,ACC_00069,14550.68,65.109.207.55,114.223.73.235,TRANSFER,US,False,
TXN_C35EE88A39B0,2026-08-15T05:24:04.365203,ACC_00585,ACC_00608,8001.13,133.142.82.136,216.68.7.230,TRANSFER,SG,False,
TXN_0752B19C3D9A,2026-08-15T05:28:40.365203,ACC_00947,ACC_00521,45064.5,115.238.109.245,61.146.82.59,TRANSFER,IN,False,
TXN_6F198B92F1C5,2026-08-15T05:30:38.365203,ACC_00980,ACC_00496,12895.64,64.34.199.27,182.97.9.97,TRANSFER,IN,False,
TXN_F2C3E0F14862,2026-08-15T05:33:40.365203,ACC_00934,ACC_00473,14289.85,115.63.227.19,10.85.45.255,TRANSFER,IN,False,
TXN_427F77E014F0,2026-08-15T05:43:28.365203,ACC_00248,ACC_00576,46276.27,147.48.247.56,48.106.76.163,TRANSFER,SG,False,
TXN_E46BB4F17215,2026-08-15T05:46:25.365203,ACC_00004,ACC_00529,26102.5,49.77.123.117,104.154.26.154,TRANSFER,SG,False,
TXN_CD4DB49E61D7,2026-08-15T05:52:45.365203,ACC_00302,ACC_00179,29235.34,206.136.149.159,53.11.109.229,TRANSFER,US,False,
TXN_B9DB23A18625,2026-08-15T05:54:02.365203,ACC_00148,ACC_00821,42416.7,48.180.190.97,86.4.91.167,TRANSFER,SG,False,
TXN_5B9EB8969FDC,2026-08-15T05:54:15.365203,ACC_00957,ACC_00705,43413.94,84.140.97.195,196.21.232.232,TRANSFER,IN,False,
TXN_6A6F876AA27E,2026-08-15T05:55:09.365203,ACC_00406,ACC_00227,49311.5,84.86.182.236,29.161.107.125,TRANSFER,US,False,
TXN_F1A47C316370,2026-08-15T05:55:29.365203,ACC_00813,ACC_00541,49258.83,206.143.160.245,20.178.172.192,TRANSFER,IN,False,
TXN_008E446C8914,2026-08-15T05:59:22.365203,ACC_00163,ACC_00535,37110.67,85.17.12.109,66.110.190.170,TRANSFER,SG,False,
TXN_C13769468D6F,2026-08-15T06:08:01.365203,ACC_00709,ACC_00858,23574.76,60.53.195.188,20.201.0.120,TRANSFER,US,False,
TXN_F03CADEAE177,2026-08-15T06:08:42.365203,ACC_00004,ACC_00992,31944.76,49.77.123.117,137.53.26.163,TRANSFER,SG,False,
TXN_92045D66703C,2026-08-15T06:12:37.365203,ACC_00861,ACC_00592,24695.09,43.43.62.109,161.208.60.11,TRANSFER,US,False,
TXN_F1C0F1ECE82B,2026-08-15T06:13:16.365203,ACC_00465,ACC_00348,49149.23,24.174.51.128,169.65.251.68,TRANSFER,GB,False,
TXN_F90AA7A58E0F,2026-08-15T06:14:52.365203,ACC_00369,ACC_00793,20460.57,55.136.153.148,129.54.107.200,TRANSFER,SG,False,
TXN_71A54722B46A,2026-08-15T06:18:40.365203,ACC_00824,ACC_00094,41180.45,170.110.5.113,12.140.155.62,TRANSFER,IN,False,
TXN_A50C441FDD76,2026-08-15T06:23:35.365203,ACC_00260,ACC_00517,31020.93,25.194.9.89,208.23.221.13,TRANSFER,IN,False,
TXN_CBC17F467F77,2026-08-15T06:38:55.365203,ACC_00396,ACC_00650,18907.57,99.170.139.100,48.133.74.21,TRANSFER,IN,False,
TXN_29582FA6264F,2026-08-15T06:40:28.365203,ACC_00320,ACC_00719,9464.95,207.24.4.137,128.163.234.139,TRANSFER,IN,False,
TXN_6E15F9E99E78,2026-08-15T06:48:45.365203,ACC_00008,ACC_00054,19382.1,196.202.6.217,205.88.32.156,TRANSFER,IN,False,
TXN_93BDBE30276D,2026-08-15T06:53:30.365203,ACC_00712,ACC_00048,21051.61,50.48.229.76,114.234.232.252,TRANSFER,IN,False,
TXN_354D7A4D8D69,2026-08-15T07:01:11.365203,ACC_00657,ACC_00738,30955.63,205.67.169.16,70.129.245.128,TRANSFER,IN,False,
TXN_E90B14BF6EBE,2026-08-15T07:06:48.365203,ACC_00826,ACC_00658,5103.05,3.179.235.201,192.129.207.7,TRANSFER,SG,False,
TXN_5E695F196DA3,2026-08-15T07:13:33.365203,ACC_00547,ACC_00434,41135.69,153.32.141.44,196.80.106.233,TRANSFER,IN,False,
TXN_E26D2DED673E,2026-08-15T07:16:36.365203,ACC_00779,ACC_00927,48973.5,88.180.137.90,168.224.142.234,TRANSFER,IN,False,
TXN_5A22D50F0A0E,2026-08-15T07:25:54.365203,ACC_00294,ACC_00933,17309.96,10.31.213.20,149.238.26.52,TRANSFER,US,False,
TXN_BA7844A638A2,2026-08-15T07:26:16.365203,ACC_00904,ACC_00041,2239.46,94.132.238.242,91.152.125.83,TRANSFER,SG,False,
TXN_C709BF9EE1D4,2026-08-15T07:28:41.365203,ACC_00518,ACC_00935,24207.54,178.101.49.192,195.186.205.168,TRANSFER,IN,False,
TXN_9B5CC4B1F3BB,2026-08-15T07:30:08.365203,ACC_00498,ACC_00686,15831.24,147.162.72.123,15.100.15.42,TRANSFER,IN,False,
TXN_162AF52796B5,2026-08-15T07:33:11.365203,ACC_00949,ACC_00863,24528.52,167.66.169.39,190.25.57.56,TRANSFER,GB,False,
TXN_10E25AFCB874,2026-08-15T07:35:05.365203,ACC_00423,ACC_00141,42142.98,196.174.184.14,49.137.84.87,TRANSFER,SG,False,
TXN_2B28578C5215,2026-08-15T07:39:46.365203,ACC_00825,ACC_00497,31220.83,129.231.232.40,6.47.71.119,TRANSFER,IN,False,
TXN_BE411692A811,2026-08-15T07:42:52.365203,ACC_00289,ACC_00918,33949.08,125.102.149.227,48.207.229.94,TRANSFER,IN,False,
TXN_3C414A175EC5,2026-08-15T07:49:20.365203,ACC_00252,ACC_00855,40476.35,155.85.229.36,83.20.2.61,TRANSFER,IN,False,
TXN_6AC414845B53,2026-08-15T08:02:27.365203,ACC_00995,ACC_00625,2743.25,12.37.25.204,50.190.14.156,TRANSFER,IN,False,
TXN_CFD89F23B0E8,2026-08-15T08:07:14.365203,ACC_00375,ACC_00512,35987.01,18.43.174.118,52.21.68.133,TRANSFER,IN,False,
TXN_DA6227C2CEFD,2026-08-15T08:10:00.365203,ACC_00767,ACC_00034,34132.98,191.213.90.174,35.165.176.245,TRANSFER,IN,False,
TXN_98E5638CAF5F,2026-08-15T08:11:54.365203,ACC_00160,ACC_00788,32866.01,175.254.51.40,3.190.81.16,TRANSFER,SG,False,
TXN_AF54E87095E9,2026-08-15T08:12:16.365203,ACC_00384,ACC_00704,23488.5,152.165.214.145,214.98.252.52,TRANSFER,SG,False,
TXN_0BFE53A96EF0,2026-08-15T08:16:21.365203,ACC_00187,ACC_00818,14411.12,28.205.123.145,4.146.33.77,TRANSFER,IN,False,
TXN_61B11021B5D4,2026-08-15T08:24:03.365203,ACC_00642,ACC_00313,31240.99,182.37.178.199,193.21.142.187,TRANSFER,IN,False,
TXN_B629F2D5E20A,2026-08-15T08:26:08.365203,ACC_00592,ACC_00536,5979.65,161.208.60.11,46.1.204.34,TRANSFER,GB,False,
TXN_001B24190706,2026-08-15T08:26:09.365203,ACC_00642,ACC_00342,27273.18,182.37.178.199,79.69.106.160,TRANSFER,IN,False,
TXN_CEF2551ADD6D,2026-08-15T08:31:44.365203,ACC_00385,ACC_00671,10350.39,223.107.84.23,158.169.15.149,TRANSFER,IN,False,
TXN_494237443A02,2026-08-15T08:34:00.365203,ACC_00682,ACC_00597,39481.44,106.147.103.149,208.240.40.125,TRANSFER,US,False,
TXN_95F97DC9E299,2026-08-15T08:36:28.365203,ACC_00385,ACC_00618,26051.7,223.107.84.23,28.97.191.146,TRANSFER,IN,False,
TXN_A325AF806913,2026-08-15T08:38:27.365203,ACC_00732,ACC_00436,35159.33,193.86.31.124,200.171.64.211,TRANSFER,US,False,
TXN_82F30584148E,2026-08-15T08:42:37.365203,ACC_00938,ACC_00643,37238.27,7.92.37.229,121.180.9.44,TRANSFER,IN,False,
TXN_35FB882D5D74,2026-08-15T08:47:47.365203,ACC_00310,ACC_00791,27182.3,28.174.27.49,89.16.54.20,TRANSFER,IN,False,
TXN_3E34EB1C80F6,2026-08-15T08:48:46.365203,ACC_00993,ACC_00323,43114.14,191.98.211.27,5.95.229.188,TRANSFER,IN,False,
TXN_6B173D0FC8D2,2026-08-15T08:58:32.365203,ACC_00228,ACC_00719,35545.55,8.201.137.102,128.163.234.139,TRANSFER,SG,False,
TXN_E4693F63D2A0,2026-08-15T09:04:00.365203,ACC_00811,ACC_00952,21890.36,80.123.111.170,45.246.227.42,TRANSFER,GB,False,
TXN_B9BD0EE9BAFD,2026-08-15T09:22:26.365203,ACC_00587,ACC_00341,46272.12,91.10.254.141,61.143.216.127,TRANSFER,IN,False,
TXN_680AA71DBFA4,2026-08-15T09:23:37.365203,ACC_00936,ACC_00829,2586.04,191.100.204.89,35.236.104.85,TRANSFER,IN,False,
TXN_E67FC42792A2,2026-08-15T09:25:55.365203,ACC_00378,ACC_00206,14650.6,150.202.1.112,130.81.212.43,TRANSFER,IN,False,
TXN_57320D1EFAFD,2026-08-15T09:26:10.365203,ACC_00655,ACC_00468,38299.73,177.47.239.18,114.78.140.29,TRANSFER,GB,False,
TXN_E064CAE5F313,2026-08-15T09:26:24.365203,ACC_00916,ACC_00779,28593.25,219.144.169.59,88.180.137.90,TRANSFER,SG,False,
TXN_2C4D2FE8C092,2026-08-15T09:29:04.365203,ACC_00639,ACC_00559,29429.64,192.133.64.238,30.63.228.160,TRANSFER,US,False,
TXN_7CBF4455960C,2026-08-15T09:30:05.365203,ACC_00445,ACC_00492,14544.38,156.55.219.93,205.145.62.73,TRANSFER,IN,False,
TXN_E347D1B77124,2026-08-15T09:41:23.365203,ACC_00053,ACC_00469,9933.98,39.117.106.82,148.173.122.65,TRANSFER,IN,False,
TXN_7E2DBBAB06DD,2026-08-15T09:50:14.365203,ACC_00705,ACC_00945,24647.39,196.21.232.232,146.199.80.174,TRANSFER,US,False,
TXN_AEC6F4430E3B,2026-08-15T09:51:26.365203,ACC_00069,ACC_00398,33052.6,114.223.73.235,160.185.191.225,TRANSFER,IN,False,
TXN_35EC5FC92F8C,2026-08-15T09:53:43.365203,ACC_00883,ACC_00628,21689.25,68.210.220.24,48.3.92.218,TRANSFER,IN,False,
TXN_24CD51CC3E43,2026-08-15T09:58:02.365203,ACC_00620,ACC_00013,31172.16,40.54.48.120,201.197.167.177,TRANSFER,IN,False,
TXN_3D48B65447ED,2026-08-15T09:58:13.365203,ACC_00128,ACC_00474,18586.98,59.135.35.107,197.125.129.201,TRANSFER,SG,False,
TXN_87C37FCE65F8,2026-08-15T10:01:21.365203,ACC_00852,ACC_00070,696.87,114.179.213.23,107.69.168.85,TRANSFER,US,False,
TXN_13FF0BAB9EAC,2026-08-15T10:11:25.365203,ACC_00454,ACC_00930,4238.91,154.31.127.1,31.73.180.152,TRANSFER,SG,False,
TXN_A6457A412CD6,2026-08-15T10:19:57.365203,ACC_00591,ACC_00681,16399.3,187.80.19.8,86.164.102.74,TRANSFER,US,False,
TXN_8F14A2F1E803,2026-08-15T10:24:15.365203,ACC_00118,ACC_00685,17365.76,216.141.104.23,183.244.198.218,TRANSFER,IN,False,
TXN_488E8E10D0B9,2026-08-15T10:26:26.365203,ACC_00468,ACC_00117,21741.71,114.78.140.29,34.133.235.213,TRANSFER,US,False,
TXN_5BF32960603C,2026-08-15T10:30:50.365203,ACC_00486,ACC_00934,6702.47,109.66.202.202,115.63.227.19,TRANSFER,IN,False,
TXN_3F920A1F89EA,2026-08-15T10:40:14.365203,ACC_00783,ACC_00456,36934.89,72.177.49.153,80.190.235.249,TRANSFER,SG,False,
TXN_FAC204E8F601,2026-08-15T10:44:27.365203,ACC_00819,ACC_00689,24215.24,138.8.120.126,51.68.178.32,TRANSFER,IN,False,
TXN_902B67C1DAC0,2026-08-15T10:48:29.365203,ACC_00545,ACC_00289,33798.07,144.6.115.145,125.102.149.227,TRANSFER,GB,False,
TXN_799B4F802B09,2026-08-15T10:59:16.365203,ACC_00309,ACC_00431,33117.06,146.200.115.0,151.83.201.137,TRANSFER,IN,False,
TXN_EF95F1B01B39,2026-08-15T11:06:51.365203,ACC_00444,ACC_00079,24676.55,6.72.178.84,83.161.55.4,TRANSFER,IN,False,
TXN_E1C75DC978A5,2026-08-15T11:12:45.365203,ACC_00704,ACC_00526,35689.81,214.98.252.52,171.18.21.14,TRANSFER,IN,False,
TXN_1BE89155616D,2026-08-15T11:19:33.365203,ACC_00974,ACC_00344,172.96,47.96.128.110,197.17.255.80,TRANSFER,IN,False,
TXN_97D430ECFCEE,2026-08-15T11:23:09.365203,ACC_00223,ACC_00203,18262.54,83.193.214.131,51.175.75.43,TRANSFER,SG,False,
TXN_C2E662C14E5F,2026-08-15T11:28:53.365203,ACC_00173,ACC_00068,49893.77,181.128.135.48,172.175.179.28,TRANSFER,IN,False,
TXN_F30916E53605,2026-08-15T11:29:13.365203,ACC_00609,ACC_00035,27088.02,110.129.99.84,65.63.107.176,TRANSFER,SG,False,
TXN_C1409CE6C3D1,2026-08-15T11:29:16.365203,ACC_00609,ACC_00361,48480.12,110.129.99.84,3.223.251.114,TRANSFER,SG,False,
TXN_B1770E494873,2026-08-15T11:44:17.365203,ACC_00735,ACC_00826,25915.7,133.211.144.97,3.179.235.201,TRANSFER,US,False,
TXN_1DC59018C0DC,2026-08-15T11:45:08.365203,ACC_00236,ACC_00023,11051.03,168.222.60.210,19.198.34.207,TRANSFER,IN,False,
TXN_C9A2D9210444,2026-08-15T11:51:21.365203,ACC_00233,ACC_00423,37399.04,111.136.127.124,196.174.184.14,TRANSFER,US,False,
TXN_2E2E968AE445,2026-08-15T12:02:24.365203,ACC_00690,ACC_00130,36812.39,131.224.14.26,112.131.37.139,TRANSFER,IN,False,
TXN_FDC5C2BB23FB,2026-08-15T12:03:11.365203,ACC_00309,ACC_00935,5446.13,146.200.115.0,195.186.205.168,TRANSFER,IN,False,
TXN_2C3AE29FD43A,2026-08-15T12:06:55.365203,ACC_00773,ACC_00099,39140.3,27.14.186.40,57.230.244.251,TRANSFER,IN,False,
TXN_AFD7E0AD2392,2026-08-15T12:07:50.365203,ACC_00457,ACC_00669,44629.16,135.154.93.177,142.92.139.55,TRANSFER,IN,False,
TXN_C1B639144003,2026-08-15T12:08:25.365203,ACC_00701,ACC_00132,29712.11,77.169.108.76,4.193.100.180,TRANSFER,IN,False,
TXN_C8045BA8B952,2026-08-15T12:15:34.365203,ACC_00143,ACC_00108,49677.66,174.184.255.184,142.210.237.172,TRANSFER,IN,False,
TXN_74EA30D98B05,2026-08-15T12:16:25.365203,ACC_00844,ACC_00365,11042.05,14.249.63.252,155.166.158.161,TRANSFER,US,False,
TXN_7840565A27B1,2026-08-15T12:27:33.365203,ACC_00676,ACC_00870,21219.71,159.133.188.58,138.107.141.161,TRANSFER,US,False,
TXN_1F2951E6DC52,2026-08-15T12:27:37.365203,ACC_00715,ACC_00612,15080.75,217.90.74.20,161.102.37.64,TRANSFER,GB,False,
TXN_B104D811E359,2026-08-15T12:28:07.365203,ACC_00162,ACC_00881,20942.27,130.119.55.10,124.237.245.212,TRANSFER,IN,False,
TXN_E323F2469E66,2026-08-15T12:30:17.365203,ACC_00465,ACC_00394,23264.03,24.174.51.128,101.228.179.62,TRANSFER,GB,False,
TXN_C7930DC2C848,2026-08-15T12:34:53.365203,ACC_00201,ACC_00453,18113.47,51.53.114.200,9.36.238.214,TRANSFER,IN,False,
TXN_C021C0FB45DB,2026-08-15T12:35:16.365203,ACC_00753,ACC_00588,1058.69,154.5.234.178,196.216.223.150,TRANSFER,SG,False,
TXN_7E377B69D3F3,2026-08-15T12:42:25.365203,ACC_00170,ACC_00368,43719.91,61.162.192.12,191.151.162.124,TRANSFER,US,False,
TXN_CD499CE0DD88,2026-08-15T12:51:46.365203,ACC_00306,ACC_00268,10291.58,169.192.248.72,202.101.172.6,TRANSFER,SG,False,
TXN_448573C0966C,2026-08-15T12:54:13.365203,ACC_00881,ACC_00222,29373.42,124.237.245.212,101.21.128.64,TRANSFER,IN,False,
TXN_092BFE794BFC,2026-08-15T12:54:26.365203,ACC_00754,ACC_00765,14832.23,159.252.133.202,104.219.142.37,TRANSFER,IN,False,
TXN_B1C7AB266261,2026-08-15T12:56:10.365203,ACC_00775,ACC_00932,15525.09,87.32.72.25,222.235.251.196,TRANSFER,IN,False,
TXN_A10228BE61B9,2026-08-15T12:58:03.365203,ACC_00681,ACC_00053,45717.23,86.164.102.74,39.117.106.82,TRANSFER,GB,False,
TXN_BFA85E5A62CC,2026-08-15T13:01:04.365203,ACC_00176,ACC_00335,42999.4,207.99.2.168,119.46.255.236,TRANSFER,IN,False,
TXN_0EFFE0B99011,2026-08-15T13:12:07.365203,ACC_00724,ACC_00942,9094.96,51.244.102.99,206.27.167.245,TRANSFER,US,False,
TXN_7FF851AF1E82,2026-08-15T13:12:30.365203,ACC_00694,ACC_00280,7759.47,102.169.84.88,15.123.218.215,TRANSFER,GB,False,
TXN_1FB002DC99E3,2026-08-15T13:12:36.365203,ACC_00970,ACC_00281,46514.96,33.85.63.204,135.137.89.206,TRANSFER,IN,False,
TXN_1204E3A7091E,2026-08-15T13:18:34.365203,ACC_00656,ACC_00207,34531.85,110.17.102.243,36.156.14.92,TRANSFER,IN,False,
TXN_98EE2EFDF466,2026-08-15T13:22:17.365203,ACC_00168,ACC_00509,47655.51,45.69.79.13,151.181.32.157,TRANSFER,IN,False,
TXN_28C5A17E5BC9,2026-08-15T13:28:09.365203,ACC_00650,ACC_00797,31646.46,48.133.74.21,190.41.160.3,TRANSFER,IN,False,
TXN_3C725B44A4C9,2026-08-15T13:34:31.365203,ACC_00650,ACC_00068,26133.0,48.133.74.21,172.175.179.28,TRANSFER,IN,False,
